loud,dance,valence,tempo,energy,live,key,acoustic,speech,type
-8.251,0.554,0.288,135.047,0.321,0.0996,9,0.893,0.028,1
-8.251,0.554,0.288,135.047,0.321,0.0996,9,0.893,0.028,1
-7.374,0.646,0.361,128.012,0.804,0.211,8,0.0278,0.0364,1
-4.432,0.337,0.273,97.317,0.771,0.304,0,0.116,0.0521,0
-8.371,0.775,0.753,122.232,0.553,0.0518,6,0.106,0.102,0
-4.338,0.653,0.722,126.167,0.886,0.9,0,0.0429,0.118,0
-5.598,0.476,0.374,175.956,0.807,0.076,9,0.237,0.177,1
-6.53,0.777,0.676,120.027,0.597,0.108,7,0.0118,0.0391,1
-5.039,0.698,0.91,99.997,0.826,0.0813,10,0.238,0.042,2
-5.786,0.754,0.75,103.992,0.933,0.297,0,0.0199,0.0448,0
-5.576,0.378,0.735,184.086,0.638,0.0849,10,0.02,0.075,0
-6.927,0.862,0.751,129.055,0.515,0.0987,0,0.542,0.0359,0
-3.293,0.646,0.796,89.99,0.795,0.267,9,0.0319,0.0976,1
-7.613,0.721,0.78,128.017,0.868,0.331,1,0.0385,0.0723,0
-5.236,0.792,0.714,127.988,0.856,0.0981,11,0.0159,0.067,0
-4.233,0.747,0.882,128.013,0.872,0.149,8,0.0742,0.0355,0
-7.372,0.72,0.614,128.988,0.731,0.11,10,0.285,0.0927,0
-4.282,0.562,0.684,116.044,0.939,0.112,0,0.046,0.0475,1
-7.42,0.503,0.186,141.922,0.577,0.123,5,0.0955,0.0454,1
-5.199,0.772,0.92,114.077,0.81,0.64,9,0.269,0.0522,0
-5.199,0.772,0.92,114.077,0.81,0.64,9,0.269,0.0522,0
-4.774,0.741,0.521,110.018,0.742,0.293,4,0.0169,0.0395,0
-5.326,0.65,0.694,96.035,0.947,0.979,11,0.222,0.0717,0
-5.132,0.529,0.326,140.039,0.603,0.235,0,0.223,0.0307,1
-5.132,0.529,0.326,140.039,0.603,0.235,0,0.223,0.0307,1
-6.751,0.692,0.518,140.94,0.679,0.202,7,0.183,0.0282,0
-4.784,0.725,0.555,132.982,0.76,0.157,7,0.0563,0.115,1
-4.835,0.553,0.41,91.983,0.721,0.114,11,0.00124,0.0508,0
-3.084,0.605,0.647,184.032,0.793,0.124,7,0.0825,0.297,1
-5.915,0.817,0.605,126.951,0.853,0.35,4,0.00868,0.12,0
-3.232,0.599,0.576,128.048,0.885,0.0699,3,0.00892,0.0463,1
-3.18,0.835,0.828,94.059,0.687,0.132,5,0.101,0.184,0
-3.198,0.759,0.73,122.033,0.849,0.0864,1,0.000983,0.0317,0
-5.406,0.518,0.106,132.146,0.679,0.0588,11,0.079,0.0355,0
-4.165,0.72,0.781,127.004,0.925,0.14,4,0.0276,0.0511,1
-5.747,0.693,0.45,131.951,0.705,0.202,8,0.0228,0.0665,0
-5.964,0.702,0.656,129.026,0.749,0.11,0,0.12,0.132,0
-5.988,0.691,0.513,128.004,0.722,0.145,11,0.0252,0.049,0
-3.011,0.834,0.462,113.058,0.753,0.108,8,0.342,0.0486,0
-3.657,0.602,0.265,126.06,0.796,0.15,0,0.0682,0.103,0
-3.078,0.666,0.552,129.884,0.876,0.259,3,0.055,0.0414,1
-4.733,0.675,0.931,127.938,0.601,0.0458,11,0.00372,0.116,1
-4.828,0.694,0.905,130.051,0.916,0.0704,0,0.086,0.13,0
-5.014,0.746,0.638,86.961,0.922,0.515,10,0.246,0.236,1
-4.579,0.668,0.292,125.948,0.873,0.15,5,0.0251,0.0444,0
-4.579,0.668,0.292,125.948,0.873,0.15,5,0.0251,0.0444,1
-5.717,0.642,0.431,122.977,0.823,0.0776,0,0.00159,0.0289,0
-5.167,0.73,0.974,129.974,0.732,0.262,4,0.0427,0.051,1
-6.793,0.602,0.549,135.984,0.653,0.617,6,0.000324,0.0467,1
-5.075,0.588,0.495,123.92,0.825,0.296,11,0.00436,0.156,1
-4.136,0.748,0.386,130.021,0.735,0.22,5,0.0246,0.134,1
-6.731,0.682,0.885,135.909,0.699,0.206,0,0.0838,0.0315,1
-7.883,0.522,0.726,159.999,0.673,0.115,7,0.354,0.0335,0
-3.486,0.47,0.511,168.3,0.844,0.105,3,0.49,0.0308,0
-4.443,0.72,0.663,128.052,0.763,0.291,9,0.0167,0.0518,1
-5.151,0.666,0.315,153.014,0.893,0.106,0,0.195,0.118,1
-3.206,0.671,0.529,129.023,0.939,0.298,8,0.192,0.161,0
-3.206,0.671,0.529,129.023,0.939,0.298,8,0.192,0.161,2
-2.117,0.61,0.294,127.917,0.906,0.758,0,0.00416,0.0647,1
-5.007,0.764,0.779,127.969,0.672,0.197,1,0.0133,0.0471,1
-4.951,0.755,0.609,127.98,0.74,0.124,1,0.0225,0.0407,1
-7.402,0.611,0.343,103.039,0.742,0.232,7,0.00768,0.0445,1
-7.751,0.828,0.509,127.987,0.794,0.614,6,0.0816,0.0699,0
-6.299,0.763,0.434,129.997,0.679,0.0949,11,0.0905,0.0981,1
-4.209,0.497,0.381,144.075,0.714,0.151,2,0.288,0.0343,1
-6.265,0.667,0.376,77.11,0.429,0.194,0,0.886,0.062,0
-3.011,0.834,0.462,113.058,0.753,0.108,8,0.342,0.0486,0
-5.018,0.813,0.801,130.011,0.627,0.131,11,0.076,0.0486,0
-3.781,0.801,0.552,127.052,0.786,0.104,9,0.0446,0.0319,1
-6.731,0.516,0.378,153.98,0.533,0.164,4,0.33,0.0258,1
-5.014,0.746,0.638,86.961,0.922,0.515,10,0.246,0.236,0
-5.392,0.703,0.813,129.946,0.817,0.287,0,0.665,0.0378,1
-2.574,0.623,0.525,127.98,0.882,0.194,0,0.0205,0.0322,1
-4.443,0.657,0.74,75.995,0.739,0.0974,0,0.417,0.0508,0
-2.741,0.755,0.735,120.032,0.832,0.291,2,0.0746,0.116,0
-3.755,0.696,0.714,119.001,0.921,0.0842,0,0.00314,0.0363,1
-5.853,0.825,0.713,122.021,0.832,0.114,5,0.00587,0.0403,1
-8.005,0.586,0.772,148.968,0.775,0.0969,2,0.118,0.035,0
-5.483,0.547,0.886,169.954,0.884,0.0715,1,0.106,0.0457,0
-4.456,0.831,0.598,95.973,0.777,0.0796,11,0.356,0.174,1
-5.293,0.646,0.868,191.874,0.796,0.214,6,0.46,0.312,0
-4.159,0.786,0.71,125.922,0.714,0.0746,11,0.103,0.0389,1
-5.754,0.48,0.265,80.051,0.486,0.107,6,0.046,0.0447,1
-5.382,0.702,0.464,127.998,0.848,0.142,4,0.0296,0.0301,1
-4.825,0.712,0.906,127.006,0.852,0.109,9,0.0125,0.0425,1
-4.217,0.607,0.568,122.01,0.934,0.0909,3,0.0327,0.0314,2
-6.857,0.798,0.4,130.0,0.629,0.324,11,0.00474,0.0735,0
-6.61,0.632,0.35,98.986,0.789,0.356,11,0.00043,0.0557,1
-5.57,0.8,0.917,112.002,0.692,0.0554,9,0.342,0.0614,1
-5.316,0.671,0.519,104.956,0.56,0.103,7,0.427,0.0247,1
-6.269,0.571,0.641,88.945,0.587,0.0847,0,0.123,0.0505,1
-3.664,0.57,0.842,174.053,0.961,0.137,3,0.124,0.175,1
-5.024,0.628,0.853,95.083,0.882,0.065,1,0.259,0.0323,0
-6.173,0.602,0.437,108.026,0.709,0.256,5,0.000747,0.0274,1
-3.724,0.811,0.962,134.064,0.879,0.109,9,0.0476,0.0514,1
-5.908,0.508,0.472,79.983,0.72,0.0563,11,0.272,0.0628,0
-6.126,0.632,0.427,90.007,0.518,0.354,6,0.107,0.0313,0
-8.12,0.721,0.817,95.057,0.719,0.0842,4,0.405,0.0389,1
-4.803,0.836,0.875,120.025,0.637,0.129,6,0.535,0.0367,2
-4.803,0.836,0.875,120.025,0.637,0.129,6,0.535,0.0367,1
-3.711,0.602,0.712,134.964,0.902,0.116,2,0.0898,0.0426,0
-4.614,0.674,0.5,129.965,0.862,0.169,11,0.0157,0.0253,0
-3.764,0.703,0.887,139.959,0.833,0.147,2,0.0762,0.0336,0
-3.358,0.568,0.48,92.452,0.832,0.204,4,0.29,0.0333,0
-5.84,0.816,0.645,132.019,0.74,0.109,7,0.316,0.0332,0
-5.014,0.521,0.523,151.012,0.852,0.365,6,0.0835,0.0624,1
-6.02,0.498,0.47,128.034,0.862,0.352,7,0.000313,0.0589,2
-8.322,0.686,0.718,150.953,0.457,0.105,11,0.595,0.0468,1
-3.956,0.706,0.861,132.032,0.841,0.0688,7,7.95e-05,0.0418,1
-4.541,0.822,0.745,118.992,0.739,0.181,1,0.0264,0.0311,0
-4.62,0.851,0.787,118.999,0.806,0.121,4,0.118,0.0787,0
-7.373,0.773,0.714,149.919,0.787,0.195,7,0.0439,0.176,1
-7.664,0.778,0.747,128.052,0.661,0.103,11,0.653,0.0347,1
-7.664,0.778,0.747,128.052,0.661,0.103,11,0.653,0.0347,0
-5.046,0.564,0.568,142.807,0.743,0.241,9,0.0124,0.0382,0
-3.815,0.772,0.894,125.007,0.762,0.0998,2,0.0159,0.0859,1
-6.8,0.513,0.461,180.118,0.661,0.118,3,0.0274,0.0439,0
-3.177,0.569,0.824,100.022,0.831,0.0603,11,0.0178,0.0454,1
-4.097,0.602,0.554,75.09,0.707,0.165,11,0.393,0.302,0
-4.515,0.707,0.722,124.921,0.813,0.168,11,0.0863,0.0571,1
-3.507,0.589,0.448,134.021,0.715,0.0659,7,0.592,0.0429,1
-6.375,0.743,0.61,127.96,0.766,0.509,0,0.0873,0.0265,1
-2.974,0.434,0.732,71.515,0.872,0.396,0,0.0473,0.0702,1
-10.466,0.598,0.665,139.818,0.73,0.257,0,0.733,0.0397,0
-8.784,0.735,0.864,104.046,0.723,0.1,5,0.212,0.148,0
-8.023,0.675,0.627,96.072,0.821,0.12,9,0.355,0.0668,0
-7.115,0.485,0.416,138.017,0.619,0.109,5,0.0941,0.0289,1
-3.269,0.412,0.899,189.146,0.902,0.091,5,0.0146,0.0534,1
-3.358,0.568,0.48,92.452,0.832,0.204,4,0.29,0.0333,0
-2.444,0.513,0.603,179.867,0.952,0.111,7,0.265,0.169,1
-6.619,0.5,0.0758,93.78,0.712,0.0959,8,0.0142,0.043,0
-4.407,0.56,0.544,124.929,0.859,0.298,4,0.0029,0.0326,2
-4.407,0.56,0.544,124.929,0.859,0.298,4,0.0029,0.0326,2
-3.173,0.699,0.696,129.996,0.76,0.132,5,0.00223,0.0677,1
-4.788,0.594,0.609,137.981,0.801,0.0901,7,0.128,0.0257,0
-4.788,0.594,0.609,137.981,0.801,0.0901,7,0.128,0.0257,0
-6.7,0.593,0.867,155.045,0.831,0.0739,9,0.0043,0.0448,1
-5.886,0.638,0.225,104.036,0.656,0.146,5,0.188,0.0357,0
-6.091,0.57,0.706,125.995,0.934,0.983,4,0.124,0.0539,1
-6.283,0.512,0.58,156.388,0.843,0.241,1,0.405,0.183,1
-2.804,0.565,0.196,143.858,0.717,0.165,11,0.686,0.0459,0
-5.844,0.573,0.764,159.937,0.887,0.0911,9,0.0266,0.0356,0
-6.328,0.872,0.807,116.947,0.87,0.0536,1,0.0464,0.142,1
-3.81,0.646,0.498,124.963,0.582,0.402,1,0.051,0.0357,1
-6.12,0.593,0.502,118.008,0.74,0.102,8,0.363,0.0339,1
-4.001,0.71,0.48,99.986,0.73,0.139,5,0.0571,0.0607,0
-3.957,0.517,0.778,126.968,0.839,0.248,4,0.0296,0.0286,0
-5.582,0.835,0.542,122.668,0.669,0.0535,6,0.0336,0.0643,2
-6.075,0.762,0.769,130.009,0.661,0.256,1,0.15,0.0687,1
-3.621,0.792,0.965,129.906,0.85,0.132,0,0.289,0.0329,1
-5.959,0.762,0.72,149.919,0.699,0.0686,2,0.551,0.105,0
-3.923,0.674,0.736,97.991,0.862,0.238,3,0.084,0.0316,0
-8.966,0.794,0.862,116.047,0.811,0.101,6,0.0426,0.038,0
-14.439,0.457,0.349,119.793,0.272,0.372,6,0.729,0.0316,1
-3.96,0.674,0.896,94.009,0.837,0.094,2,0.015,0.0333,1
-5.039,0.452,0.321,186.141,0.834,0.138,0,0.0294,0.0296,0
