"summerhit","song","lodness","tempo",""
"0","The Multimix","-6.828","105.924",""
"0","Talk Dirty","-7.321","100.315",""
"0","Wild Wild West","-6.735","140.038",""
"0","¡Chas! Y aparezco a tu lado","-2.665","128.011",""
"0","Y yo sigo aquí","-7.193","126.021",""
"0","Tarzan Boy","-12.3","107.363",""
"0","Janey, Don't You Lose Heart","-7.697","146.044",""
"0","Janey, Don't You Lose Heart","-7.697","146.044",""
"0","Remember the Time","-2.383","108.002",""
"0","Los chicos con las chicas","-3.399","129.757",""
"0","Se vende","-4.432","97.317",""
"0","Natacha y yo","-8.702","72.768",""
"0","Antihéroe","-3.422","130.982",""
"0","No rompas mi corazón","-7.333","127.004",""
"0","La lluvia en los zapatos","-5.898","121.985",""
"0","Step by Step","-6.651","119.838",""
"0","La Bamba","-6.419","75.099",""
"0","I Wanna Dance","-4.768","119.032",""
"0","Números rojos","-7.993","116.066",""
"0","A Conspirancy","-2.921","99.924",""
"0","I Feel You","-8.617","71.826",""
"0","Running in the Family","-8.379","113.191",""
"0","Walk Like an Egyptian","-7.818","103.022",""
"0","Cherry Lee","-5.09","126.17",""
"0","El sur","-4.583","165.057",""
"0","Madera de colleja","-5.217","155.035",""
"0","Give Me Everything","-3.206","129.023",""
"1","Give Me Everything","-3.206","129.023",""
"1","Ella Elle L'a","-4.407","124.929",""
"1","Ella Elle l'a","-4.407","124.929",""
"0","Ella Elle l'a","-4.407","124.929",""
"0","Te quiero igual","-6.927","120.014",""
"0","El tomavistas","-10.171","98.044",""
"0","Whistle","-5.786","103.992",""
"0","Man Gave Name to all the Animals","-5.972","102.507",""
"0","El sur también existe","-8.121","82.226",""
"0","Born This Way","-5.075","123.92",""
"0","With A Girl Like You","-8.916","113.872",""
"1","Como Camarón","-9.615","140.4",""
"1","Eva María","-4.567","121.831",""
"0","Payphone","-4.774","110.018",""
"0","Song 2","-6.174","98.678",""
"0","Woman To Woman","-5.883","159.145",""
"0","Dangerous","-5.883","159.145",""
"0","El tacto de su piel","-5.883","159.145",""
"0","El salmón","-5.259","124.923",""
"0","Moves Like Jagger","-4.443","128.052",""
"0","Moves Like Jagger","-4.443","128.052",""
"0","Tik Tok","-2.741","120.032",""
"0","Una emoción para siempre","-4.489","119.875",""
"0","Sorry","-6.923","144.021",""
"0","Sorry","-6.923","144.021",""
"0","Sorry","-6.923","144.021",""
"0","Sorry","-6.923","144.021",""
"0","Aire","-9.112","127.626",""
"0","Wish I Could Fly","-6.19","124.862",""
"0","Gwendolyne","-12.019","88.518",""
"0","Baila para mí","-4.182","152.628",""
"0","Bring Me to Life","-3.209","189.892",""
"0","Mía","-4.486","174.05",""
"0","Mía","-4.486","174.05",""
"0","Sick and Tired","-4.495","99.741",""
"0","El run run","-5.392","129.946",""
"0","The Right Thing","-7.318","104.879",""
"0","Yé Ké Yé Ké","-7.668","170.13",""
"0","Rufino","-6.618","167.525",""
"0","Pass the Dutchie","-14.37","149.745",""
"0","Corpiño xeitoso","-4.104","138.82",""
"0","West End Girls","-6.566","113.257",""
"0","Cuerpos calientes","-3.325","128.065",""
"0","Easy Lady","-17.029","89.088",""
"0","A sudar","-5.795","146.073",""
"1","Corazón partío","-4.581","145.031",""
"0","Step by Step","-8.648","115.976",""
"0","Don't Speak","-8.648","115.976",""
"0","Manda Christmas","-10.448","79.938",""
"0","Woody Boogie","-13.935","110.168",""
"1","Nada valgo sin tu amor","-4.581","76.979",""
"0","Nada valgo sin tu amor","-4.581","76.979",""
"0","Nada valgo sin tu amor","-4.581","76.979",""
"0","Suéltate el pelo","-6.141","170.17",""
"0","Todo","-4.238","91.992",""
"0","Morir al lado de mi amor","-4.997","135.866",""
"0","Love Yourself","-9.828","100.418",""
"0","Te dejé marchar","-8.655","65.703",""
"0","About a Girl","-6.467","132.092",""
"0","The Sound of C","-7.958","111.398",""
"0","Lo echamos a suertes","-5.992","90.019",""
"0","Ave María","-4.452","132.042",""
"0","Venus","-4.812","126.113",""
"0","La lista de la compra","-5.832","109.282",""
"0","I'm Your Baby Tonight","-8.787","165.147",""
"0","Genetic engineering","-8.086","128.571",""
"0","Sometimes","-10.106","110.384",""
"0","Que nadie","-4.653","89.315",""
"0","Dancing in Paris (Qué pasa)","-9.559","125.596",""
"0","The Man Who Sold the World","-8.93","114.773",""
"0","La aurora","-7.185","136.279",""
"0","Por el amor de una mujer","-12.96","98.138",""
"0","Cruel to Be Kind","-3.5","135.128",""
"0","Dirty Dawg","-9.148","102.567",""
"0","Breathless","-7.754","126.988",""
"0","The Best of Me","-6.689","117.038",""
"0","You're the Best Thing About Me","-6.689","117.038",""
"0","Bésame tonta","-7.879","153.412",""
"0","Yo tengo una mujer tremenda","-4.586","133.038",""
"0","More than Friends","-4.583","122.985",""
"0","Original Prankster","-4.183","146.782",""
"0","Stereo Hearts","-3.293","89.99",""
"0","No me hables","-5.366","126.893",""
"0","Cosmic Girl","-5.14","89.571",""
"0","Jardín de rosas","-4.31","83.53",""
"0","Si tú fueras mi mujer","-8.843","117.653",""
"0","Amor, amor","-3.941","112.941",""
"0","No vaya a ser","-7.399","99.995",""
"0","Suburbia","-4.581","92.036",""
"0","Te dejo Madrid","-5.062","131.032",""
"0","Qué dolor","-6.545","157.468",""
"0","Bailando por ahí","-5.167","129.974",""
"0","Bailando por ahí","-5.167","129.974",""
"0","A View to a Kill","-5.405","125.472",""
"1","La abuela","-6.842","90.018",""
"1","La abuela","-6.842","90.018",""
"0","Aquí no podemos hacerlo","-5.365","166.698",""
"0","No va más","-4.727","155.956",""
"0","Circle of Life","-11.695","83.915",""
"0","No es lo mismo","-5.84","79.996",""
"0","No es lo mismo","-5.84","79.996",""
"0","No es lo mismo","-5.84","79.996",""
"0","Sildavia","-4.975","145.075",""
"0","Sildavia","-4.975","145.075",""
"0","It's Raining Again","-6.808","121.261",""
"0","Ooops Up","-14.19","102.886",""
"0","Erotica","-11.168","101.956",""
"0","Where Them Girls At","-3.078","129.884",""
"0","(Just Like) Starting Over","-6.488","107.936",""
"0","Shiny Happy People","-3.948","124.592",""
"0","Amor, háblame dulcemente","-14.023","79.54",""
"0","No dudaría","-10.466","139.818",""
"0","Shut Up","-3.804","128.038",""
"0","Serenade","-4.981","102.99",""
"0","Tú, sólo tú","-4.863","178.654",""
"0","Si la vieras con mis ojos","-4.863","178.654",""
