label,song,loud,dance,energy,tempo,variance,live
"0","No importa que llueva","-4.747","0.68","0.77","103.05","0.89","0.15"
"0","Ho Hey","-9.105","0.69","0.36","79.99","0.47","0.15"
"0","Try","-5.777","0.47","0.11","91.67","0.67","0.15"
"0","I Love It","-2.663","0.71","0.84","125.93","0.91","0.15"
"0","Timber","-4.106","0.59","0.83","129.97","0.97","0.14"
"0","Heartbreaker","-9.366","0.4","0.65","97.16","0.71","0.13"
"0","We Are Never Ever Getting Back Together","-5.902","0.62","0.78","86.06","0.69","0.13"
"0","Hall of Fame","-4.343","0.42","0.63","84.8","0.87","0.12"
"0","Counting Stars","-4.945","0.66","0.47","121.98","0.71","0.12"
"0","Story of My Life","-5.802","0.6","0.29","121.07","0.66","0.12"
"0","Don't You Worry Child","-3.145","0.61","0.44","129.04","0.84","0.12"
"1","Impossible","-4.785","0.38","0.3","169.52","0.7","0.11"
"1","Wrecking Ball","-6.262","0.53","0.35","119.96","0.42","0.11"
"1","Wrecking Ball","-6.262","0.53","0.35","119.96","0.42","0.11"
"1","Wrecking Ball","-6.262","0.53","0.35","119.96","0.42","0.11"
"0","Girl On Fire","-5.762","0.48","0.14","92.49","0.71","0.11"
"0","Lágrimas desordenadas","-4.457","0.72","0.53","127.92","0.83","0.1"
"0","Tu jardín con enanitos","-4.457","0.72","0.53","127.92","0.83","0.1"
"0","Tu jardín con enanitos","-4.457","0.72","0.53","127.92","0.83","0.1"
"1","Let Her Go","-7.335","0.51","0.24","75.09","0.54","0.1"
"2","Get Lucky","-8.966","0.79","0.86","116.05","0.81","0.1"
"0","Burn","-4.99","0.31","0.3","85.41","0.77","0.1"
"0","Love Me Again","-3.469","0.49","0.2","126.03","0.92","0.1"
"0","Love Me Again","-3.469","0.49","0.2","126.03","0.92","0.1"
"0","La La La","-3.617","0.72","0.64","96.02","0.9","0.1"
"2","Gangnam Style","-2.872","0.73","0.76","132.08","0.94","0.09"
"0","Can't Hold Us","-4.457","0.64","0.85","146.08","0.92","0.09"
"1","Blurred Lines","-4.762","0.87","0.84","119.99","0.61","0.09"
"0","Blurred Lines","-4.762","0.87","0.84","119.99","0.61","0.09"
"0","Thrift Shop","-6.985","0.78","0.66","94.99","0.53","0.05"
"1","Ai se eu te pego!","-5.326","0.65","0.69","96.04","0.95","0.98"
"0","No hay 2 sin 3 (Gol)","-4.338","0.65","0.72","126.17","0.89","0.9"
"0","La primavera","-5.199","0.77","0.92","114.08","0.81","0.64"
"0","La primavera","-5.199","0.77","0.92","114.08","0.81","0.64"
"1","Tacata'","-5.915","0.82","0.61","126.95","0.85","0.35"
"0","Balada Boa","-7.613","0.72","0.78","128.02","0.87","0.33"
"0","Se vende","-4.432","0.34","0.27","97.32","0.77","0.3"
"0","Whistle","-5.786","0.75","0.75","103.99","0.93","0.3"
"0","Payphone","-4.774","0.74","0.52","110.02","0.74","0.29"
